Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0603_1608Metric",92.700000,-59.300000,-90.000000,top
"C2","22pF","C_0603_1608Metric",91.200000,-59.300000,-90.000000,top
"C3","1uF","C_0603_1608Metric",107.200000,-61.500000,180.000000,top
"C4","22pF","C_0603_1608Metric",108.000000,-109.540000,90.000000,top
"C5","22pF","C_0603_1608Metric",91.300000,-105.100000,90.000000,top
"C6","10nF","C_0603_1608Metric",108.100000,-150.375000,90.000000,top
"C7","47uF","C_0805_2012Metric",93.100000,-105.050000,90.000000,top
"C8","10uF","C_0603_1608Metric",92.900000,-154.600000,0.000000,top
"C9","100nF","C_0603_1608Metric",92.975000,-161.250000,0.000000,top
"C10","100nF","C_0603_1608Metric",93.739000,-72.700000,0.000000,top
"C11","100nF","C_0603_1608Metric",100.000000,-71.700000,180.000000,top
"D1","D_Schottky","D_SOD-123",92.100000,-100.000000,90.000000,top
"D2","D_Small_Filled","D_SOD-123",107.900000,-100.000000,90.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",93.500000,-75.000000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",108.000000,-163.000000,0.000000,top
"J1","AudioJack3","Jack_3.5mm_QingPu_WQP-PJ366ST_Vertical",100.000000,-158.000000,-90.000000,top
"J2","AudioJack2_Ground_SwitchT","Jack_3.5mm_Stereo_WQP-PJ366ST_Vertical",100.000000,-102.000000,180.000000,top
"J3","AudioJack2_Ground_SwitchT","Jack_3.5mm_Stereo_WQP-PJ366ST_Vertical",105.000000,-116.000000,180.000000,top
"J4","AudioJack2_Ground_SwitchT","Jack_3.5mm_Stereo_WQP-PJ366ST_Vertical",95.000000,-116.000000,180.000000,top
"J5","AudioJack2_Ground_SwitchT","Jack_3.5mm_Stereo_WQP-PJ366ST_Vertical",100.000000,-130.000000,180.000000,top
"J6","DIN-5_180degree","Deltron_691-0500",100.000000,-75.500000,0.000000,top
"J8","USB_C_Receptacle","UJ40_CVG_SMT_TR",100.000000,-60.500000,0.000000,top
"J10","Conn_02x05_Odd_Even","OTBreakOut_2x05_P1.27mm_Vertical_SMD",94.500000,-90.400000,0.000000,top
"R1","22R","R_0603_1608Metric",107.200000,-63.300000,180.000000,top
"R2","22R","R_0603_1608Metric",107.200000,-65.100000,180.000000,top
"R3","1M","R_0603_1608Metric",94.200000,-59.300000,-90.000000,top
"R6","220R","R_0603_1608Metric",93.500000,-78.950000,90.000000,top
"R7","2.2k","R_0603_1608Metric",108.100000,-146.975000,90.000000,top
"R8","220R","R_0603_1608Metric",91.900000,-78.950000,90.000000,top
"R9","10k","R_0603_1608Metric",91.850000,-147.412500,90.000000,top
"R10","10k","R_0603_1608Metric",93.550000,-147.412500,-90.000000,top
"R11","10k","R_0603_1608Metric",100.000000,-73.200000,0.000000,top
"R12","5.1k","R_0603_1608Metric",107.200000,-57.900000,0.000000,top
"R13","5.1k","R_0603_1608Metric",107.200000,-59.700000,0.000000,top
"RV1","R_Potentiometer","Alps_RK09K_Vertical",100.000000,-144.000000,0.000000,top
"U1","ATmega16U2-M","QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm",93.700000,-68.500000,0.000000,top
"U2","AP2205R-5.0","SOT-89-3",107.410000,-105.030000,180.000000,top
"U3","AD8531ARTZ-R7 ","SOT-23-5",92.800000,-151.300000,90.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",92.800000,-62.600000,0.000000,top
